date,concentration,day,month,year,day_of_week,timestamp,month_sin,month_cos,years_since_start,season
2018-08-15,0.00957889029459606,15,8,2018,2,1534291200.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-16,0.038134827399240914,16,8,2018,3,1534377600.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-17,0.02855593710464486,17,8,2018,4,1534464000.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-18,0.023856858846918492,18,8,2018,5,1534550400.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-19,0.02855593710464486,19,8,2018,6,1534636800.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-20,0.0,20,8,2018,0,1534723200.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-21,0.00957889029459606,21,8,2018,1,1534809600.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-22,0.0189770468100488,22,8,2018,2,1534896000.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-23,0.0189770468100488,23,8,2018,3,1534982400.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-24,0.01427796855232243,24,8,2018,4,1535068800.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-25,0.0,25,8,2018,5,1535155200.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-26,0.0,26,8,2018,6,1535241600.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-27,0.04283390565696729,27,8,2018,0,1535328000.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-28,0.023856858846918492,28,8,2018,1,1535414400.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-29,0.01427796855232243,29,8,2018,2,1535500800.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-30,0.0,30,8,2018,3,1535587200.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-08-31,0.00957889029459606,31,8,2018,4,1535673600.0,-0.8660254037844384,-0.5000000000000004,0,3
2018-09-01,0.00957889029459606,1,9,2018,5,1535760000.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-05,0.0,5,9,2018,2,1536105600.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-06,0.0189770468100488,6,9,2018,3,1536192000.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-07,0.0,7,9,2018,4,1536278400.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-08,0.0189770468100488,8,9,2018,5,1536364800.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-09,0.01427796855232243,9,9,2018,6,1536451200.0,-1.0,-1.8369701987210297e-16,0,4
2018-09-10,0.03325501536237123,10,9,2018,0,1536537600.0,-1.0,-1.8369701987210297e-16,0,4
